date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:02	931/931	---M-Z	200	added ('OK')	application/javascript	etag:W/%2232189ea4f3a93ea480ffed336ab3f61b%22	https://static.parastorage.com/services/wix-thunderbolt/dist/activePopup.25745e41.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/activePopup.25745e41.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:03	709/709	---M-Z	200	added ('OK')	application/javascript	etag:W/%2200ce1617c24e452f1989e5422c2e0ded%22	https://static.parastorage.com/services/wix-thunderbolt/dist/headerPlaceholderHeight.c8f0d99e.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/headerPlaceholderHeight.c8f0d99e.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:03	4509/4509	---M-Z	200	added ('OK')	application/javascript	etag:W/%22827447df46a9a4fc5bd72a7ef58920d6%22	https://static.parastorage.com/services/wix-thunderbolt/dist/imageZoom.08685bb2.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/imageZoom.08685bb2.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:03	691/691	---M-Z	200	added ('OK')	application/javascript	etag:W/%221cd5e71ecf285e293394aa8a883f671a%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ooiTpaSharedConfig.63088af4.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/ooiTpaSharedConfig.63088af4.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:03	3264/3264	---M-Z	200	added ('OK')	application/javascript	etag:W/%228194365ce1d08fde54aafd0ff46826e9%22	https://static.parastorage.com/services/wix-thunderbolt/dist/platformPubsub.0a9681e8.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/platformPubsub.0a9681e8.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:04	1000/1000	---M-Z	200	added ('OK')	application/javascript	etag:W/%22eea5244c5f1c221a22b2bfdabd099020%22	https://static.parastorage.com/services/wix-thunderbolt/dist/sosp.523c2b21.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/sosp.523c2b21.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:04	65896/65896	---M-Z	200	added ('OK')	application/javascript	etag:W/%224e38ead26e321be1b893dfe55b20ba59%22	https://static.parastorage.com/services/wix-thunderbolt/dist/tpa.0fc3fbdf.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/tpa.0fc3fbdf.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:04	2370/2370	---M-Z	200	added ('OK')	application/javascript	etag:W/%220c694708579dceaf32d45061eca12ad6%22	https://static.parastorage.com/services/wix-thunderbolt/dist/pageTransitions.751b226e.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/pageTransitions.751b226e.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:04	7110/7110	---M-Z	200	added ('OK')	application/javascript	etag:W/%22228beff246f97e04dcaee5856a05824a%22	https://static.parastorage.com/services/wix-thunderbolt/dist/screenIn.1826580a.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/screenIn.1826580a.chunk.min.js	(from https://www.180dcberkeley.com/)
22:28:05	24719/24719	---M-Z	200	added ('OK')	application/javascript	etag:W/%229d8b825dcb9ef2985a19eb3e59de3190%22	https://static.parastorage.com/services/editor-elements/dist/bootstrap-components-classic.d9a0ac3e.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/editor-elements/dist/bootstrap-components-classic.d9a0ac3e.chunk.min.js	(from https://www.180dcberkeley.com/)
